Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287241562,2022-01-15,23:54:01.562,89,51.0000,1.0000,0.1000,0.1000,163.0000,1.0000,1.0000,1.0000,1.0000,1.0000,168.0000,99.0000
1642287242562,2022-01-15,23:54:02.562,90,59.0000,1.0000,0.1000,0.1000,163.0000,1.0000,1.0000,1.0000,1.0000,1.0000,168.0000,99.0000
1642287243546,2022-01-15,23:54:03.546,91,61.0000,1.0000,0.1000,0.1000,164.0000,1.0000,1.0000,1.0000,1.0000,1.0000,168.0000,99.0000
1642287244561,2022-01-15,23:54:04.561,92,57.0000,1.0000,0.1000,0.1000,164.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287245546,2022-01-15,23:54:05.546,93,57.0000,1.0000,0.1000,0.1000,164.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287246545,2022-01-15,23:54:06.545,94,57.0000,1.0000,0.1000,0.1000,164.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287247545,2022-01-15,23:54:07.545,95,57.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287248545,2022-01-15,23:54:08.545,96,51.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287249545,2022-01-15,23:54:09.545,97,51.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287250544,2022-01-15,23:54:10.544,98,53.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287251544,2022-01-15,23:54:11.544,99,53.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287252544,2022-01-15,23:54:12.544,100,60.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287253544,2022-01-15,23:54:13.544,101,53.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287254544,2022-01-15,23:54:14.544,102,60.0000,1.0000,0.1000,0.1000,166.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,99.0000
1642287255559,2022-01-15,23:54:15.559,103,63.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,99.0000
1642287256543,2022-01-15,23:54:16.543,104,66.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,99.0000
1642287257543,2022-01-15,23:54:17.543,105,66.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,99.0000
1642287258543,2022-01-15,23:54:18.543,106,68.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,99.0000
1642287259558,2022-01-15,23:54:19.558,107,63.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287260558,2022-01-15,23:54:20.558,108,63.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287261542,2022-01-15,23:54:21.542,109,63.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287262557,2022-01-15,23:54:22.557,110,63.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287263541,2022-01-15,23:54:23.541,111,62.0000,1.0000,0.1000,0.1000,165.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,99.0000
1642287264541,2022-01-15,23:54:24.541,112,62.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,,,,
1642287264557,2022-01-15,23:54:24.557,112,,,,,,,,,1.0000,1.0000,165.0000,98.0000
1642287265557,2022-01-15,23:54:25.557,113,52.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287266541,2022-01-15,23:54:26.541,114,52.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287267540,2022-01-15,23:54:27.540,115,52.0000,1.0000,0.1000,0.1000,168.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287268556,2022-01-15,23:54:28.556,116,52.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,165.0000,98.0000
1642287269540,2022-01-15,23:54:29.540,117,50.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,98.0000
1642287270555,2022-01-15,23:54:30.555,118,56.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,98.0000
1642287271571,2022-01-15,23:54:31.571,119,73.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,98.0000
1642287272539,2022-01-15,23:54:32.539,120,73.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,98.0000
1642287273555,2022-01-15,23:54:33.555,121,73.0000,1.0000,0.1000,0.1000,171.0000,1.0000,1.0000,1.0000,1.0000,1.0000,166.0000,98.0000
1642287274539,2022-01-15,23:54:34.539,122,63.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,98.0000
1642287275539,2022-01-15,23:54:35.539,123,63.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,98.0000
1642287276554,2022-01-15,23:54:36.554,124,63.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,98.0000
1642287277554,2022-01-15,23:54:37.554,125,53.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,98.0000
1642287278538,2022-01-15,23:54:38.538,126,53.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,98.0000
1642287279553,2022-01-15,23:54:39.553,127,48.0000,1.0000,0.1000,0.1000,175.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287280537,2022-01-15,23:54:40.537,128,48.0000,1.0000,,,,,,,,,,
1642287280553,2022-01-15,23:54:40.553,128,,,0.1000,0.1000,175.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287281537,2022-01-15,23:54:41.537,129,42.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287282553,2022-01-15,23:54:42.553,130,42.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287283568,2022-01-15,23:54:43.568,131,44.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,173.0000,98.0000
1642287284536,2022-01-15,23:54:44.536,132,44.0000,1.0000,0.1000,0.1000,174.0000,1.0000,1.0000,1.0000,1.0000,1.0000,175.0000,98.0000
1642287285552,2022-01-15,23:54:45.552,133,44.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,175.0000,98.0000
1642287286567,2022-01-15,23:54:46.567,134,44.0000,1.0000,0.1000,0.1000,173.0000,1.0000,1.0000,1.0000,1.0000,1.0000,175.0000,98.0000
1642287287536,2022-01-15,23:54:47.536,135,40.0000,1.0000,0.1000,0.1000,172.0000,1.0000,1.0000,1.0000,1.0000,1.0000,175.0000,98.0000
1642287288551,2022-01-15,23:54:48.551,136,40.0000,1.0000,0.1000,0.1000,172.0000,1.0000,1.0000,1.0000,1.0000,1.0000,175.0000,98.0000
1642287289567,2022-01-15,23:54:49.567,137,40.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
1642287290551,2022-01-15,23:54:50.551,138,40.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,172.0000,98.0000
